Kode,Nama,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,?-karoten,Karoten,Thiamin,Riboflavin,Niasin,Vitamin C,BDD,Olahan,Makanan,TKPI 2019
NR004,"Asam kandis, segar",81.5,75.0,0.2,1.1,16.1,3.4,1.1,63.0,139.0,2.5,7.0,93.2,0.1,0.1,0.0,41.0,0.0,0.01,0.0,0.1,0.0,0.0,Tunggal,Bumbu,KZGPI-1990
NR005,"Asam masak pohon, segar",31.4,267.0,2.8,0.6,62.5,1.2,2.7,74.0,113.0,0.6,9.0,139.5,0.09,0.1,0.0,9.0,30.0,0.34,0.04,0.7,2.0,48.0,Tunggal,Bumbu,DABM-1964
NR006,"Asam payak, segar",65.1,135.0,0.8,0.4,32.1,10.0,1.6,60.0,39.0,5.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tunggal,Bumbu,KZGPI-1990
NR007,"Bawang merah, segar",88.0,46.0,1.5,0.3,9.2,1.7,1.0,36.0,40.0,0.8,7.0,178.6,0.06,0.2,0.0,2.0,0.0,0.03,0.04,0.2,2.0,90.0,Tunggal,Bumbu,DABM-1964
NR008,"Bawang putih, segar",71.0,112.0,4.5,0.2,23.1,0.6,1.8,42.0,134.0,1.0,46.0,665.7,0.09,0.4,0.0,0.0,0.0,0.22,0.07,0.3,15.0,88.0,Tunggal,Bumbu,DABM-1964
NR009,"Boros kunci, segar",90.0,40.0,1.0,0.8,7.2,1.0,1.0,50.0,50.0,2.0,33.0,480.0,0.02,0.3,0.0,0.0,5.0,0.08,0.68,1.7,50.0,80.0,Tunggal,Bumbu,DABM-1964
NR010,"Boros laja (lengkuas), segar",93.0,26.0,1.0,0.3,4.7,1.1,1.0,50.0,50.0,2.0,24.0,137.1,0.07,0.3,0.0,5.0,5.0,0.08,0.06,0.3,50.0,80.0,Tunggal,Bumbu,DABM-1964
NR011,"Cabai gembor merah, segar",90.8,38.0,1.6,0.8,6.3,1.6,0.6,49.0,41.0,1.1,7.0,275.3,0.12,0.2,0.0,5.897,3.24,0.21,0.12,0.0,16.0,89.0,Tunggal,Bumbu,KZGPI-1990
NR012,"Cabai hijau, segar",93.4,26.0,0.7,0.3,5.2,2.6,0.4,14.0,23.0,0.4,7.0,151.0,0.08,0.2,0.0,44.0,260.0,0.05,0.06,0.4,84.0,82.0,Tunggal,Bumbu,DABM-1964
NR013,"Cabai merah, kering",10.0,367.0,15.9,6.2,61.8,26.9,6.1,160.0,370.0,2.3,25.0,181.5,1.2,1.8,0.0,10.955,576.0,0.4,1.36,4.4,50.0,85.0,Tunggal,Bumbu,DABM-1964
NR014,"Cabai merah, segar",90.9,36.0,1.0,0.3,7.3,1.4,0.5,29.0,24.0,0.5,23.0,272.4,0.12,0.2,0.0,5.833,470.0,0.05,0.09,3.0,18.0,85.0,Tunggal,Bumbu,DABM-1964
NR015,"Cabai rawit, segar",71.2,120.0,4.7,2.4,19.9,15.2,1.8,45.0,85.0,2.5,34.0,706.2,0.29,0.6,0.0,1.694,11.05,0.24,0.09,1.7,70.0,85.0,Tunggal,Bumbu,DABM-1964
NR016,"Cengkeh, kering",23.3,330.0,5.2,8.9,57.4,10.0,5.2,740.0,100.0,4.9,282.0,961.0,0.3,0.0,0.0,265.0,0.0,200.0,0.0,0.0,0.0,100.0,Tunggal,Bumbu,DABM-1964
NR017,"Daun salam, bubuk",13.1,301.0,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180.0,619.0,1.31,0.7,0.0,5.4,0.0,0.1,0.32,5.0,0.0,100.0,Tunggal,Bumbu,FCTEA-1972
NR018,"Jahe, segar",55.0,51.0,1.5,1.0,10.1,12.0,1.2,21.0,39.0,1.6,12.0,441.7,0.48,0.7,0.0,0.0,9.0,0.02,0.17,3.3,4.0,97.0,Tunggal,Bumbu,DABM-1964
NR019,Kemiri,7.0,675.0,19.0,63.0,8.0,3.0,3.0,80.0,200.0,2.0,25.0,430.7,0.23,0.8,0.0,0.0,0.0,0.06,0.06,0.4,0.0,100.0,Tunggal,Bumbu,DABM-1964
NR020,"Ketumbar, kering",11.2,418.0,14.1,16.1,54.2,12.3,4.4,630.0,370.0,17.9,91.0,0.0,0.95,4.6,0.0,75.0,1.57,0.2,0.35,1.8,0.0,100.0,Tunggal,Bumbu,DABM-1964
NR021,Kluwek,51.0,310.0,10.0,24.0,13.5,0.0,1.5,40.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,30.0,80.0,Tunggal,Bumbu,DABM-1964
NR022,"Kunyit, segar",84.9,69.0,2.0,2.7,9.1,0.6,1.3,24.0,78.0,3.3,6.0,406.7,0.05,0.4,0.0,12.0,0.0,0.03,0.02,0.4,1.0,78.0,Tunggal,Bumbu,DABM-1964
NR023,"Merica, kering",12.9,365.0,11.5,6.8,64.4,1.0,4.4,460.0,200.0,16.4,4.0,99.7,0.89,1.1,0.0,0.3,0.0,0.2,0.1,2.5,0.0,100.0,Tunggal,Bumbu,DABM-1964
NR024,"Pala, biji, kering",14.3,518.0,7.5,36.4,40.1,3.5,1.7,120.0,240.0,4.6,2.0,78.7,0.94,2.0,0.0,7.0,0.0,0.2,0.02,0.5,0.0,95.0,Tunggal,Bumbu,DABM-1964
QR001,"Kelapa muda, air, segar",95.5,17.0,0.2,0.1,3.8,0.0,0.4,15.0,8.0,0.2,1.0,149.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,Tunggal,Minuman,DABM-1964
